"unique","Vcmax","Jmax","Rd","TPU","Vcmax_SE","Jmax_SE","Rd_SE","TPU_SE","unique.1","method"
"K6704L1",17.6138006636467,50.43111845256,-0.566460107781768,NA,0.28570494206207,NA,0.0570278522946698,NA,"K6704L1","dat"
"K6704L2",14.3690423944558,48.9052959698774,-1.11544145523362,NA,0.207179343800925,NA,0.0573247653402233,NA,"K6704L2","dat"
"K6705L1",16.6999870005894,40.1027681863344,-0.858118755507954,NA,0.24906807360319,NA,0.0380799768166899,NA,"K6705L1","dat"
"K6705L1-1",17.1592180920506,39.2898107623575,-0.400509576724373,3.4576011133141,0.262543415825886,NA,0.0378229641635143,NA,"K6705L1-1","dat"
"K6705L2",20.9978317651733,47.7282679899997,1.00090351350703,3.6182208037616,0.323134309286674,NA,0.0478337064369727,NA,"K6705L2","dat"
"K6706L1",26.5744673579598,800070.473435157,-1.02325159525476,3.0963544619591,0.313638949865102,NA,0.0366288292367069,NA,"K6706L1","dat"
"K6706L2",29.9252746712638,68.6474512852017,0.919833155899916,5.1193026896478,0.288749331859873,NA,0.0401822195917986,NA,"K6706L2","dat"
"K6707L1",58.3203290015999,105.568677863633,-0.790213347948925,6.2246519052405,0.571445289494203,NA,0.0461696032967746,NA,"K6707L1","dat"
"K6707L1-1",58.4070503674046,100.403600784052,-1.08637031215973,6.08331171186715,0.533545359633651,NA,0.038366575826619,NA,"K6707L1-1","dat"
"K6707L2",77.013255860493,144.758973136782,-1.97385802364203,6.97513040530056,0.771461874350467,NA,0.0725226962725724,NA,"K6707L2","dat"
"K6707L2-2",76.4803684889335,137.907798799927,-2.04867381935993,6.83610887955178,0.635288434086216,NA,0.0538758240830844,NA,"K6707L2-2","dat"
"K6708L1",23.3722232714411,48.9043911071418,-0.617714019772952,4.06359060986126,0.294404443333261,NA,0.0315990502212346,NA,"K6708L1","dat"
"K6708L2",19.4348637007202,42.1607564653962,-1.57377440961512,NA,0.268624870577228,NA,0.0314123239793435,NA,"K6708L2","dat"
"K6709L2",57.2556160490352,82.273557494653,-1.92553349887757,7.23502902426303,0.665721440016611,NA,0.0509434568860899,NA,"K6709L2","dat"
"K6709L2-2",55.6558309591249,109.449019208784,-0.0102839845282227,7.5183115961853,2.00024141761103,NA,0.226354425899482,NA,"K6709L2-2","dat"
"K6709L3",61.6994734063968,103.078785115816,-2.24518305494902,8.35288702335033,0.63413436103824,NA,0.0416170797769088,NA,"K6709L3","dat"
"K6709L6",51.6147467648066,60.7081394540382,-11.0074565036438,NA,1.3513890972491,NA,0.048211483226138,NA,"K6709L6","dat"
"K6709L8",56.1460377459176,102.892109757009,-2.34395748342481,8.43092289847899,0.513652091517333,NA,0.0415423655593971,NA,"K6709L8","dat"
"K6713L1",20.0173813186571,36.0176187075115,-4.26981194178078,NA,0.502920349138276,NA,0.0363009846591928,NA,"K6713L1","dat"
"K6713L2",16.8810195723868,37.036635706379,-0.848107732207838,NA,0.228835834502627,NA,0.0281873197625789,NA,"K6713L2","dat"
"K6713L3",26.2188900744342,52.1163713086548,-3.27590595660252,4.21344303820884,0.37711460437269,NA,0.036762938878243,NA,"K6713L3","dat"
"K6714L1",21.5414971944717,34.3364657021488,0.204290513678958,1.07065167000977,0.440905922769517,NA,0.027887880236696,NA,"K6714L1","dat"
"K6714L2",24.8579397436894,44.720954119359,0.411833094596235,1.26448846450954,0.413067924959556,NA,0.0367388994397728,NA,"K6714L2","dat"
"K6715L1",17.7138839719326,42.6360685847965,-0.505947154745005,NA,0.195303846333989,NA,0.0277882012131026,NA,"K6715L1","dat"
"K6715L1-1",17.1404046315929,37.4527591380061,-2.2706673729007,NA,0.205139939611472,NA,0.0234459964793202,NA,"K6715L1-1","dat"
"K6715L2",23.8784851578313,48.4696792725188,-0.403288810708683,NA,0.332347865622846,NA,0.036316313143557,NA,"K6715L2","dat"
"K6716L1",31.9871106749462,64.7659445394469,-0.763476976802372,4.60685578406732,0.320263934115035,NA,0.0332814539262127,NA,"K6716L1","dat"
"K6716L2",28.3596962477095,58.8142214639066,-2.05559978739955,4.30931401154478,0.288510220480329,NA,0.0318004090903034,NA,"K6716L2","dat"
"K6717L1",34.6598124940222,67.2249214909936,-0.458765144086025,NA,0.410738443709857,NA,0.0471099685801491,NA,"K6717L1","dat"
"K6717L2",36.9819381148447,73.1815766459147,-0.597879770664191,6.54240607681564,0.433751842557532,NA,0.0539149346004184,NA,"K6717L2","dat"
"K6718L1",11.8013480782521,37.6669081182299,0.171169548037995,NA,0.252861631493767,NA,0.060587993620476,NA,"K6718L1","dat"
"K6718L2",8.13083122043321,23.6403235467792,0.215077416394322,NA,0.131523444195308,NA,0.0278027832781451,NA,"K6718L2","dat"
"K6704L1",20.3065801169944,58.4240735250019,0.602550834425299,NA,1.17518326478999,NA,0.225161549052124,NA,NA,"trad"
"K6704L2",16.8071237104285,51.7589996399752,0.500033278626423,NA,1.1184871691833,NA,0.246038209181027,NA,NA,"trad"
"K6705L1",16.2884195165165,36.6511609635854,0.215748851132548,NA,0.551574589234963,NA,0.0740486962536961,NA,NA,"trad"
"K6705L2",19.7016030244972,44.2398058199911,0.275914245275961,3.62840919286976,0.356453745363607,NA,0.050052447917722,NA,NA,"trad"
"K6706L1",26.6286686508332,56.0122521302352,0.160190718200497,4.43544223940016,0.788192255643537,NA,0.0668042703679561,NA,NA,"trad"
"K6706L2",28.2176726907851,68.5264590731993,0.139958952921234,5.97895298430708,0.522248977065172,NA,0.0723406386614278,NA,NA,"trad"
"K6707L1",51.8594493200494,103.748773469209,0.4072667893082,8.0626664297694,2.06469562370846,NA,0.173773231174898,NA,NA,"trad"
"K6707L2",74.3112406597938,123.352368203417,0.326506162678901,9.4148460542263,NA,NA,NA,NA,NA,"trad"
"K6708L1",21.5631403595654,52.3750086299012,0.419751110653874,4.34225994355129,0.271058679154512,NA,0.0380900251289197,NA,NA,"trad"
"K6708L2",19.7413487831405,49.2956641184851,0.686517420296616,4.23963929120998,1.41707117765994,NA,0.186746776835927,NA,NA,"trad"
"K6709L2-2",49.9157922821605,799004.00961479,0.0130124681000158,7.22809770470001,3.31202760477213,NA,0.413842425325357,NA,NA,"trad"
"K6709L3",45.3854869392855,99.9069969824959,1.67381726997224,NA,6.66581866173216,NA,0.655921140592496,NA,NA,"trad"
"K6709L6",52.0809557698539,111.244068829637,0.284676255801622,8.07123248526721,2.03156840726255,NA,0.182577943933362,NA,NA,"trad"
"K6709L8",55.225506992201,127.553621145297,0.252506952002085,8.69483453955625,3.60292272093616,NA,0.354594558626,NA,NA,"trad"
"K6713L1",20.9239633108656,44.6714230215494,0.274364741921652,3.92806487064055,0.43077351476832,NA,0.048466995514348,NA,NA,"trad"
"K6713L2",15.4967077893042,38.8476411781437,0.0855473504870075,3.45017391849567,0.936587426182152,NA,0.162658035298907,NA,NA,"trad"
"K6713L3",27.7672537045612,54.2263260623528,0.149562510097436,4.54586308253248,0.510425139198069,NA,0.0431623126153644,NA,NA,"trad"
"K6714L1",18.0602859179224,31.4860929930405,0.359072432181157,2.41648642183816,NA,NA,NA,NA,NA,"trad"
"K6714L2",21.9730574668887,36.8771637146591,0.367987445782901,2.73549353748319,NA,NA,NA,NA,NA,"trad"
"K6715L1",18.0222503582549,46.5078748044492,0.0624495696406663,4.09943652321356,0.457761171102432,NA,0.070229482707736,NA,NA,"trad"
"K6715L2",23.4513056885318,55.5412119771077,0.115209835426979,4.82359616514233,0.316981912371262,NA,0.0415778020331239,NA,NA,"trad"
"K6716L1",30.2493098683327,62.7838478527773,0.0117250986480419,5.18804836621601,0.631868067176129,NA,0.0554125039341842,NA,NA,"trad"
"K6716L2",28.0662862261168,62.0947931168259,-0.0414699203314779,5.11833002655617,1.06966859464295,NA,0.119556528383553,NA,NA,"trad"
"K6717L1",35.8696386489972,72.3031295555092,0.18927113566176,5.75423336188725,0.132692142002229,NA,0.0115003794004887,NA,NA,"trad"
"K6717L2",36.3563756952493,72.8592981287981,0.278511591022767,NA,0.804646455170347,NA,0.0771788302025063,NA,NA,"trad"
"K6718L1",14.3928970746824,40.8443410213042,0.552337545768168,NA,0.98238531161618,NA,0.176843193209436,NA,NA,"trad"
"K6718L2",9.19513139383639,24.659551499398,0.551428280194539,2.19212498228707,0.228462524917364,NA,0.0354867399915638,NA,NA,"trad"
