treeid,treename,family,gen_spec,gen_spec_id,overshoot,rel_can_pos
k6709,9,Sapotaceae,Manilkara elata,Manilkara elata,1,1
K6707,7,Fabaceae,Tachigali chrysophylla,Tachigali chrysophylla,1,2
K6708,8,Rubiaceae,Chimarrhis turbinata,Chimarrhis turbinata,0,3
K6706,6,Lecythidaceae,Eschweilera sp. trufle1,Eschweilera sp. trufle1,1,4
K6704,4,Fabaceae,Abarema mataybifolia,Abarema mataybifolia #1,0,5.1
K6718,18,Fabaceae,Abarema mataybifolia,Abarema mataybifolia #2,0,5.2
K6705,5,Burseraceae,Protium apiculatum,Protium apiculatum,0,6
K6716,16,Melastomataceae,Miconia egensis,Miconia egensis,0,7
K6715,15,Rubiaceae,Coussarea paniculata,Coussarea paniculata,0,8
K6717,17,Euphorbiaceae,Aparisthmium cordatum,Aparisthmium cordatum,0,9
K6713,13,Hypericaceae,Vismia cayennensis,Vismia cayennensis,0,10
K6702,2,Lecythidaceae,Couratari stellata,Couratari stellata,Partial,11
K6714,14,Annonaceae,Anaxagorea dolichocarpa,Anaxagorea dolichocarpa,1,12