unique,k67.id,code
K6702L1,K67-WT-02,COST
K6704L1,K67-WT-04,ABMA
K6704L2,K67-WT-04,ABMA
K6705L1,K67-WT-05,PRAP
K6705L2,K67-WT-05,PRAP
K6705L1-1,K67-WT-05,PRAP
K6706L1,K67-WT-06,ESSP
K6706L2,K67-WT-06,ESSP
K6707L1,K67-WT-07,TACH
K6707L1-1,K67-WT-07,TACH
K6707L2,K67-WT-07,TACH
K6707L2-2,K67-WT-07,TACH
K6708L1,K67-WT-08,CHTU
K6708L2,K67-WT-08,CHTU
K6709L2-2,K67-WT-09,MAEL
K6709L2,K67-WT-09,MAEL
K6709L3,K67-WT-09,MAEL
K6709L8,K67-WT-09,MAEL
K6709L6,K67-WT-09,MAEL
K6713L1,K67-WT-13,VICA
K6713L2,K67-WT-13,VICA
K6713L3,K67-WT-13,VICA
K6714L1,K67-WT-14,UNKN
K6714L2,K67-WT-14,UNKN
K6715L1,K67-WT-15,COSP
K6715L1-1,K67-WT-15,COSP
K6715L2,K67-WT-15,COSP
K6716L1,K67-WT-16,MELA
K6716L2,K67-WT-16,MELA
K6717L1,K67-WT-17,APCO
K6717L2,K67-WT-17,APCO
K6718L1,K67-WT-18,ABMA
K6718L2,K67-WT-18,ABMA