"Num","V_cmax","V_cmax_se","J_max","J","J_se","V_TPU","V_TPU_se","R_d","R_d_se","cost","citransition1","citransition2","V_cmax_pts","J_max_pts","V_TPU_pts","alpha","alpha_g","gamma_star25","Ea_gamma_star","K_M25","Ea_K_M","g_mc25","Ea_g_mc","Oconc","theta_J","ID"
0,35.1274075426443,0.847726148980119,35.3800931932192,34.9679547284037,0.0480555999426698,1.86777892411367,0.0092183183331241,0.690222273751923,0.0509707879053643,35.9083287029604,245.25942095,596.318518,86,79,226,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6702L1"
0,37.6895654261182,0.319898438443476,61.7532634309737,60.4469345124143,0.0350516030334658,4.81513863302705,0.0113070131020347,0.180943898898653,0.0545365220878959,42.0869633387894,628.6147,1215.8545,167,126,99,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6704L1"
0,31.4352545797613,0.236598166468943,60.6129911299299,59.356625640757,0.0513764777200387,4.68531175565743,0.0105355000641373,0.625520081864913,0.054942747497229,44.8435723083086,880.3232,1370.6395,230,119,43,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6704L2"
0,34.2596773440168,0.227600903756998,50.3890771728685,49.5340848366741,0.0220710269458392,1000,NA,0.708412249810619,0.038846593162962,16.0092094829363,616.49015,1489.225,175,216,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6705L1"
0,34.247788704873,0.211418510517759,48.5720164786353,47.7797452593568,0.021029584723572,1000,NA,0.356447628026045,0.0350617631773731,13.7317894916015,596.86865,1472.973,168,224,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6705L1-1"
0,38.3541845446779,0.366453458613554,54.5112529612387,53.5044203830147,0.0408252395030753,3.48667333947177,0.00698248549746786,-0.649883308070484,0.0387244460745849,33.7739222201183,365.17895,953.0228,111,134,145,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6705L2"
0,54.2932708862642,0.354405845637429,65.1618212887267,63.6997762650897,0.384748639703611,2.79419594428297,0.0165933408639546,0.978059240321836,0.0538774589039882,91.0237321386663,569.7047,701.32155,167,19,205,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6706L1"
0,53.6251365457184,0.473544520595462,68.8374836121994,67.1967293637382,0.0646092630922476,5.34629176692716,0.01387829361198,-0.285357065487353,0.0897084007522238,93.8123510175627,705.45085,1516.0865,187,170,34,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6706L2"
0,119.460384575492,0.772896672948407,127.921695298885,121.718981053286,0.201184392911454,6.23181524629018,0.012328876858108,0.47635627829684,0.0619322375355668,200.838949104315,299.0479,567.68535,99,59,233,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6707L1"
0,122.702887203648,1.08171589762407,123.71270930916,117.948912144548,0.149400992935224,6.1711079424783,0.0160322067250297,0.630583514337263,0.0663762199567413,204.496979490579,241.8344,551.83755,84,71,237,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6707L1-1"
0,131.424931861543,1.57409495746562,134.389623494093,127.475252274813,0.510409712225367,6.51280792692787,0.0140202237851729,2.25465438346761,0.202892793893264,448.075213828101,454.04775,697.40135,141,44,207,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6707L2"
0,137.232809245603,1.33084855766135,149.900975684298,141.090425508704,0.5023167436653,6.67728012531907,0.0156562973924762,1.88565377251439,0.148390583266921,377.467063478728,390.1254,577.96705,127,35,229,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6707L2-2"
0,50.9790323538564,0.515917311545302,59.9487306428941,58.7209882441279,0.041075706713621,1000,NA,0.337840333729472,0.0485094161222511,51.025217651991,353.48011905,1591.270231,108,283,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6708L1"
0,45.2210029380139,0.675206054716347,55.0463617175256,54.0188424204528,0.0243577864128115,1000,NA,1.1105887147534,0.0673328572872902,29.4554343290915,382.41975605,1568.488902,124,269,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6708L2"
0,110.168007834804,1.28407763358119,100.497919381364,96.8276671262627,0.0914280292773289,1000,NA,1.97566074892867,0.131962695357055,242.545970079384,399.20288285,1504.227398,147,243,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6709L2"
0,-151.665949253098,30.0185729931057,-23.3693573181704,-23.5343503887939,0.739943328933344,1.79358150427504,0.0229669080393247,16.7786206644579,1.94097981443841,571.758593276324,183.11376275,294.8787694,35,48,265,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6709L2-2"
0,136.917702657793,1.62333825455602,130.838315654374,124.320276357619,0.0442206237471257,1000,NA,1.61819327473275,0.0865363381775469,66.4623561397505,215.561,1116.697,110,283,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6709L3"
0,95.4169518369903,3.16995738068527,69.217576711626,67.5576891670905,0.265919475274637,6.23284992996195,0.0296018016557556,9.55293635225157,0.271272131879954,886.579668507001,352.7298385,848.7815502,149,106,131,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6709L6"
0,120.969296686699,1.29847709788071,128.732123058162,122.44267314185,0.0472306077062615,8.60096036197212,0.0318505343434451,1.73984391408363,0.0899314096096145,77.0419443437675,274.49965,1452.1005,108,274,4,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6709L8"
0,22.6773116062095,15.232376566826,51.793221618361,50.8880063721643,0.0412838554482295,1000,NA,2.95269847474257,0.437073084704286,76.7565101260049,57.11105094,1435.830249,40,351,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6713L1"
0,36.765794442421,0.36880996744531,47.444336322353,46.6897083496176,0.017862904813901,1000,NA,0.585187101298999,0.0410697146755116,12.9493669009734,412.44989125,1683.024549,118,273,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6713L2"
0,62.3086251886309,1.52913901230643,65.8106531731227,64.3178812466616,0.0404643326829964,4.51896430624085,0.00787540600704898,2.53884474244024,0.106896854057729,72.8586926919424,281.46329785,1388.10286,106,244,43,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6713L3"
0,43.4488351869462,0.560945178012092,32.5311745297528,32.184214855698,0.251963217480641,1.03459114731152,0.00841151298207733,-0.214580440813936,0.0487168278876849,45.7462173939667,343.77981435,510.55081345,108,27,257,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6714L1"
0,47.214840479537,0.489421971667757,39.6527670040182,39.1317608295755,0.408333965257963,1.20402231515997,0.015210785607175,-0.346520049183611,0.0521861219851446,89.2524514447578,390.88915,470.7526,109,12,270,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6714L2"
0,37.9144916716418,0.225482684083536,51.6176548784855,50.7188028772172,0.0288329367695768,3.99901270423587,0.0117714775324755,0.346937193414836,0.028421692870097,29.4559944828602,462.42485,1021.635,161,132,98,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6715L1"
0,39.2922719901505,0.67341752434876,46.8201037305706,46.0858876118396,0.0291706616889407,3.62263144259719,0.0123199742235202,1.84794515674452,0.0630286853637877,44.3445992443669,358.54445,1002.5675,140,154,97,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6715L1-1"
0,49.7580497854852,0.350264113647076,61.176793054998,59.8958514185894,0.0249099593804965,1000,NA,0.224365804058258,0.0352166617040106,18.3406665170291,368.8811927,1524.562533,129,263,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6715L2"
0,61.0221628358769,0.567816531869922,67.9340126159579,66.3382294341376,0.0493229084441387,1000,NA,0.83833129156101,0.0788494046084709,73.5217859129507,523.18855,1332.108,161,230,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6716L1"
0,61.7827643730532,0.722586648730786,72.5021072634396,70.6718455914808,0.0737669747155571,4.43696217950491,0.00614216908824102,1.5812335213655,0.0660445112826316,69.1620487726403,341.4038,880.43265,108,116,167,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6716L2"
0,65.6513543089295,0.412540942348746,82.4556541305769,80.0522173769705,0.0330129823279844,1000,NA,0.52287137571701,0.0549829699673918,35.4463943049056,455.21024955,1579.758583,120,271,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6717L1"
0,68.9715086886172,0.471334286469435,88.6842655968566,85.8774305346783,0.041892660206451,1000,NA,0.742696828844985,0.0756939281264338,57.072632112473,559.2467358,1657.779747,149,242,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6717L2"
0,28.0253734085266,0.227513187141175,46.1333255769663,45.4212268259635,0.0333524952650734,3.67635665405481,0.0112550163905824,-0.613246041153999,0.0409293293924413,28.4220129546927,673.7676757,1210.1465105,171,125,96,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6718L1"
0,17.7504419840142,0.137003600909303,28.9668684967581,28.693230338549,0.0187866639483222,2.29672535642779,0.0081825508308353,-0.358552605523376,0.0247449260529303,11.0541400654606,665.60128335,1266.292707,163,129,100,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6718L2"
